PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Delivery_Delay_Days,Discount_Percent,Defect_Rate,Total_Spend
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,0.0,Yes,5.0,9.79893102570629,0.0,42669.759999999995
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes,16.0,2.34324844853413,0.02503209242618742,142198.66
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,1.0,12.670506214004254,0.01849894291754757,54508.52
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,16.0,9.448739833316594,0.035919540229885055,62765.280000000006
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,11.0,10.751818916734035,0.14285714285714285,772.8
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,2.0,5.210665581111342,0.0550561797752809,82894.6
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,16.0,11.756272401433684,0.023148148148148147,2658.96
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,3.0,5.822430839908118,0.14847809948032664,127022.09999999999
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,3.0,5.14199294236262,0.057208237986270026,24668.65
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,2.0,14.984591679506936,0.018461538461538463,57382.0
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,19.0,8.328375966686488,0.10410958904109589,5624.65
PO-00069,Epsilon_Group,2022-08-27,,Raw Materials,Cancelled,63,61.94,53.8,0.0,Yes,,13.141750080723282,0.0,3389.3999999999996
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,8.0,11.833839918946309,0.030927835051546393,25322.82
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes,14.0,5.487603305785124,0.021791767554479417,47230.68
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes,20.0,14.876507754164273,0.13671599718111346,84118.32
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,17.0,5.265180630284396,0.06514657980456026,45405.3
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,15.0,3.5555555555555554,0.02006335797254488,51374.75
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,0.0,Yes,19.0,1.1636157230026865,0.0,98415.45000000001
PO-00076,Alpha_Inc,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,0.0,Yes,,9.088074824629782,0.0,8223.12
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,20.0,13.151082116599348,0.025,120772.8
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,0.0,No,4.0,13.98789509078682,0.0,12853.949999999999
PO-00079,Alpha_Inc,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No,,9.638554216867478,0.020287958115183247,50424.0
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,7.0,4.771334276284773,0.051299133910726186,151585.99
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,0.0,No,3.0,13.56976003397749,0.0,45421.200000000004
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,0.0,Yes,6.0,10.61884669479606,0.0,41943.0
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes,6.0,2.671027527936759,0.10714285714285714,5999.28
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,15.0,13.069358178053822,0.10588235294117647,8565.45
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,16.0,4.154411764705879,0.05025996533795494,30084.78
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,8.0,4.463187489017746,0.1602446483180428,88894.95
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,10.0,13.141372591470017,0.1429305912596401,78033.4
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,15.0,1.0922140739585002,0.15605749486652978,92612.79
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,8.0,13.00593631948192,0.13674418604651162,17329.0
PO-00090,Alpha_Inc,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,,7.568897637795274,0.02334267040149393,100577.61
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes,19.0,14.877012743257929,0.02939166097060834,126066.71
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,7.0,5.90038314176244,0.11219512195121951,45313.200000000004
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,0.0,Yes,18.0,8.843537414965988,0.0,66354.12
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,5.0,4.878665318503538,0.024390243902439025,69427.35
PO-00095,Beta_Supplies,2023-10-18,,Electronics,Cancelled,1895,91.98,86.27,170.0,Yes,,6.207871276364436,0.08970976253298153,163481.65
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,3.0,12.885048835462065,0.02064516129032258,107833.49999999999
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,0.0,No,10.0,9.236499068901304,0.0,18326.24
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,19.0,5.388655462184884,0.04656319290465632,40621.57
PO-00099,Beta_Supplies,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,,2.95655886433984,0.08472400513478819,70826.68000000001
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No,15.0,13.78416118092959,0.11479435236341314,140810.76
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes,-5.0,13.594926674593728,0.009478672985781991,13799.400000000001
PO-00102,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,,4.459919988146379,0.00796812749003984,16184.480000000001
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,16.0,6.746031746031754,0.0660287081339713,46659.25
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,20.0,9.62084347120843,0.1786833855799373,28438.850000000002
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,14.0,1.5161221439248365,0.029958677685950414,178576.63999999998
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No,20.0,10.612244897959174,0.15606936416184972,11366.1
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,3.0,13.040000000000006,0.03273809523809524,14609.279999999999
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes,19.0,11.118450022016741,0.12277227722772277,20386.85
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,1.0,13.817020808103047,0.098371335504886,120159.8
PO-00110,Beta_Supplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,,7.254335260115609,0.09222222222222222,173286.0
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes,9.0,6.609195402298848,0.15547169811320755,30143.75
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,6.0,6.486870120652956,0.0525328330206379,70228.08
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,15.0,4.098703471350901,0.10140845070422536,81401.5
PO-00114,Gamma_Co,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No,,5.33680756610693,0.07246376811594203,33841.05
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,0.0,Yes,19.0,3.132911392405062,0.0,165110.34
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,16.0,5.780535597648599,0.022106631989596878,66556.95
PO-00117,Alpha_Inc,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,,10.783392823595708,0.021405049396267837,86526.78
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,14.0,7.759496242128784,0.15762273901808785,17573.67
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,4.0,7.875354107648709,0.028017241379310345,30178.56
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,11.0,4.5280612244897895,0.023978685612788632,16856.22
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes,16.0,10.863888018385047,0.09631391200951249,71762.53
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,13.0,14.23055708769995,0.10325814536340852,155111.25
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,18.0,2.4333942483408686,0.022556390977443608,26983.04
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes,3.0,1.630484565356784,0.017220172201722016,87308.07
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,11.0,8.069792802617231,0.029535864978902954,13985.369999999999
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes,13.0,13.420961604980974,0.02097902097902098,32213.61
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,1.0,8.003161742910775,0.14391143911439114,50465.62
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,18.0,6.687759109753431,0.03141831238779174,95280.42
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,2.0,7.607067984426473,0.02113821138211382,37945.5
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,12.0,1.318851823118696,0.078125,3256.32
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,0.0,Yes,16.0,1.1935208866155205,0.0,43717.479999999996
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,2.0,1.9221481696126677,0.12280701754385964,11575.560000000001
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,Electronics,Cancelled,1930,65.52,56.9,282.0,Yes,18.0,13.156288156288154,0.1461139896373057,109817.0
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,Office Supplies,Pending,1912,30.73,29.82,191.0,Yes,10.0,2.961275626423691,0.09989539748953975,57015.840000000004
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,0.0,Yes,16.0,7.047965319535737,0.0,37887.9
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,0.0,Yes,20.0,9.885535900104058,0.0,85898.54
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No,6.0,5.442468395114633,0.01747088186356073,53044.26
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,Office Supplies,Delivered,697,20.73,19.83,78.0,No,1.0,4.3415340086830785,0.11190817790530846,13821.509999999998
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,MRO,Delivered,1545,78.19,76.91,42.0,Yes,3.0,1.6370379843969833,0.027184466019417475,118825.95
PO-00140,Gamma_Co,2023-03-09,2023-03-13,MRO,Partially Delivered,1136,60.81,58.25,62.0,Yes,4.0,4.209833908896567,0.05457746478873239,66172.0
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,MRO,Delivered,1212,87.46,74.55,118.0,No,4.0,14.761033615367023,0.09735973597359736,90354.59999999999
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,MRO,Delivered,1572,57.38,49.32,40.0,Yes,5.0,14.046706169397005,0.02544529262086514,77531.04
PO-00143,Gamma_Co,2023-01-30,2023-02-09,Electronics,Delivered,642,91.9,81.49,26.0,Yes,10.0,11.32752992383026,0.040498442367601244,52316.579999999994
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,Office Supplies,Delivered,441,63.25,54.12,16.0,Yes,9.0,14.434782608695656,0.036281179138321996,23866.92
PO-00145,Epsilon_Group,2023-09-03,2023-09-19,Office Supplies,Delivered,1748,66.53,57.11,0.0,Yes,16.0,14.159026003306781,0.0,99828.28
PO-00146,Gamma_Co,2023-04-25,,Electronics,Pending,468,95.57,91.8,24.0,Yes,,3.944752537407132,0.05128205128205128,42962.4
PO-00147,Beta_Supplies,2023-06-26,2023-07-14,Raw Materials,Delivered,338,50.25,46.28,49.0,No,18.0,7.900497512437808,0.14497041420118342,15642.640000000001
PO-00148,Gamma_Co,2022-09-15,2022-09-22,Office Supplies,Delivered,428,22.94,21.52,26.0,Yes,7.0,6.190061028770713,0.06074766355140187,9210.56
PO-00149,Beta_Supplies,2023-07-21,,Packaging,Delivered,1846,13.72,12.62,216.0,Yes,,8.017492711370272,0.11700975081256772,23296.519999999997
PO-00150,Epsilon_Group,2022-01-12,2022-01-17,Office Supplies,Delivered,1563,77.96,70.8,41.0,Yes,5.0,9.184197024114928,0.026231605886116442,110660.4
PO-00151,Beta_Supplies,2023-11-28,2023-12-07,Office Supplies,Delivered,280,73.07,69.29,30.0,Yes,9.0,5.17312166415764,0.10714285714285714,19401.2
PO-00152,Delta_Logistics,2022-04-28,2022-05-12,Raw Materials,Delivered,1067,74.47,64.16,0.0,No,14.0,13.844501141399224,0.0,68458.72
PO-00153,Gamma_Co,2023-11-30,2023-12-17,Electronics,Pending,90,32.38,29.96,7.0,Yes,17.0,7.473749227918473,0.07777777777777778,2696.4
PO-00154,Gamma_Co,2023-07-04,2023-07-05,Raw Materials,Delivered,1101,24.28,22.73,59.0,No,1.0,6.3838550247117,0.053587647593097185,25025.73
PO-00155,Alpha_Inc,2022-10-01,2022-10-11,Raw Materials,Delivered,184,11.82,10.51,4.0,Yes,10.0,11.082910321489006,0.021739130434782608,1933.84
PO-00156,Epsilon_Group,2023-10-19,2023-11-07,Electronics,Delivered,250,45.92,41.02,3.0,Yes,19.0,10.67073170731707,0.012,10255.0
PO-00157,Epsilon_Group,2022-12-15,,Packaging,Cancelled,1913,66.56,61.34,61.0,Yes,,7.842548076923076,0.03188708834291688,117343.42000000001
PO-00158,Beta_Supplies,2022-04-25,2022-04-30,Electronics,Delivered,829,45.98,40.39,0.0,Yes,5.0,12.15745976511526,0.0,33483.31
PO-00159,Delta_Logistics,2022-10-28,2022-11-13,Raw Materials,Delivered,979,51.59,49.69,148.0,Yes,16.0,3.682884279899216,0.1511746680286006,48646.509999999995
PO-00160,Epsilon_Group,2023-03-22,2023-04-09,Electronics,Partially Delivered,1106,97.77,90.45,31.0,Yes,18.0,7.486959189935556,0.02802893309222423,100037.7
PO-00161,Delta_Logistics,2022-06-11,2022-06-24,Office Supplies,Pending,1121,42.38,38.34,152.0,Yes,13.0,9.532798489853702,0.13559322033898305,42979.14000000001
PO-00162,Alpha_Inc,2023-04-10,2023-04-21,Office Supplies,Delivered,552,60.48,56.78,10.0,Yes,11.0,6.117724867724861,0.018115942028985508,31342.56
PO-00163,Gamma_Co,2022-01-04,2022-01-12,Packaging,Delivered,456,80.53,77.86,26.0,Yes,8.0,3.3155345833850762,0.05701754385964912,35504.159999999996
PO-00164,Delta_Logistics,2022-09-27,2022-10-05,Packaging,Delivered,1647,47.52,44.92,0.0,Yes,8.0,5.471380471380474,0.0,73983.24
PO-00165,Epsilon_Group,2023-05-28,2023-06-11,Electronics,Pending,1801,71.27,61.24,43.0,Yes,14.0,14.073242598568816,0.02387562465297057,110293.24
PO-00166,Gamma_Co,2022-07-02,2022-07-18,Electronics,Delivered,854,90.24,85.53,0.0,Yes,16.0,5.219414893617015,0.0,73042.62
